Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Matevz Govekar	Bahrain Victorious	Slovenia	180 cm	73 kg	25 jaar	71	55	34	56	26	82	32	35	57	32
Vito Braet	Lotto-Intermarché	Belgium	184 cm	68 kg	25 jaar	71	64	72	63	28	64	28	37	82	27
Andreas Kron	Uno-X Mobility	Denmark	177 cm	63 kg	27 jaar	71	49	20	80	49	41	20	52	77	20
Edward Planckaert	Alpecin-Premier Tech	Belgium	178 cm	71 kg	31 jaar	70	60	73	62	40	69	20	40	65	20
Igor Arrieta	UAE Team Emirates-XRG	Spain	182 cm	64 kg	23 jaar	70	51	41	77	56	35	27	51	72	25
Simone Consonni	Lidl-Trek	Italy	165 cm	60 kg	31 jaar	70	63	48	44	26	83	29	38	66	27
Davide De Pretto	Team Jayco-AlUla	Italy	172 cm	58 kg	23 jaar	70	53	20	80	31	51	20	38	81	20
Benjamin Thomas	Cofidis	France	179 cm	68 kg	30 jaar	70	61	20	73	26	53	56	43	78	41
Victor Lafay	Unibet Rose Rockets	France	177 cm	65 kg	30 jaar	70	38	20	78	46	35	20	65	68	20
Mark Donovan	Pinarello-Q36.5 Pro Cycling Team	Great Britain	185 cm	70 kg	26 jaar	70	59	73	71	48	46	35	51	74	26
Fabio Jakobsen	Team Picnic PostNL	Netherlands	181 cm	78 kg	29 jaar	70	65	60	41	21	82	20	28	59	20
Manuel Peñalver	Team Polti VisitMalta	Spain	177 cm	67 kg	27 jaar	70	62	20	41	31	89	20	29	61	20
Søren Kragh Andersen	Lidl-Trek	Denmark	178 cm	73 kg	31 jaar	70	66	69	67	30	63	51	48	81	32
Carlos Verona	Lidl-Trek	Spain	186 cm	68 kg	33 jaar	69	34	20	53	76	37	25	58	41	26
Urko Berrade	Equipo Kern Pharma	Spain	184 cm	72 kg	28 jaar	69	54	20	75	47	36	55	52	69	52
George Bennett	NSN Cycling Team	New Zealand	181 cm	58 kg	35 jaar	69	44	20	71	69	35	35	59	64	37
Yannis Voisard	Tudor Pro Cycling Team	Switzerland		56 kg	27 jaar	69	47	31	68	69	35	51	65	61	39
Fernando Barceló	Caja Rural-Seguros RGA	Spain	174 cm	65 kg	30 jaar	69	52	35	74	53	56	30	47	78	20
Emanuel Buchmann	Cofidis	Germany	180 cm	59 kg	33 jaar	69	41	20	67	66	42	31	70	53	29
Lennard Kämna	Lidl-Trek	Germany	181 cm	65 kg	29 jaar	69	46	20	66	64	45	60	69	45	54
Eduard Prades	Caja Rural-Seguros RGA	Spain	178 cm	63 kg	38 jaar	69	50	34	76	42	54	20	31	86	20
Pascal Eenkhoorn	Soudal Quick-Step	Netherlands	185 cm	72 kg	29 jaar	69	53	56	76	42	41	32	45	69	31
Pier-André Côté	NSN Cycling Team	Canada	181 cm	74 kg	28 jaar	69	59	52	58	42	55	66	42	69	58
Marco Brenner	Tudor Pro Cycling Team	Germany	181 cm	59 kg	23 jaar	69	49	20	76	50	40	36	61	70	33
Michal Kwiatkowski	INEOS Grenadiers	Poland	176 cm	68 kg	35 jaar	68	59	66	71	55	47	53	52	73	49
Alessandro Covi	Team Jayco-AlUla	Italy	180 cm	66 kg	27 jaar	68	54	28	75	54	45	20	47	78	20
Rémy Rochas	Groupama-FDJ United	France	164 cm	51 kg	29 jaar	68	42	20	74	56	43	24	56	57	20
Jose Manuel Diaz	Burgos Burpellet BH	Spain	177 cm	64 kg	31 jaar	68	48	37	74	53	35	20	58	71	20
Dries van Gestel	Soudal Quick-Step	Belgium	188 cm	74 kg	31 jaar	68	65	69	55	26	69	27	34	76	25
Lukas Nerurkar	EF Education-EasyPost	Great Britain	177 cm	0 kg	22 jaar	68	42	20	73	60	38	25	50	75	25
Nico Denz	Red Bull-BORA-hansgrohe	Germany	183 cm	71 kg	32 jaar	68	53	39	75	34	54	45	40	63	39
Connor Swift	INEOS Grenadiers	Great Britain	190 cm	75 kg	30 jaar	68	58	71	63	34	43	52	41	69	47
Sylvain Moniquet	Cofidis	Belgium	175 cm	61 kg	28 jaar	68	43	20	74	57	32	34	57	69	23
Felix Engelhardt	Team Jayco-AlUla	Germany	180 cm	68 kg	25 jaar	68	50	32	75	50	46	24	51	76	20
Gleb Syritsa	XDS Astana Team	Russia	190 cm	85 kg	25 jaar	68	57	45	38	22	79	41	32	62	37
Krists Neilands	NSN Cycling Team	Latvia	189 cm	69 kg	31 jaar	68	54	63	70	44	57	39	45	76	37
Georg Steinhauser	EF Education-EasyPost	Germany	189 cm	70 kg	24 jaar	68	44	20	67	74	34	38	50	66	36
Axel Huens	Groupama-FDJ United	France		0 kg	24 jaar	68	57	56	55	25	73	20	36	76	20
Erik Resell	Uno-X Mobility	Norway	192 cm	0 kg	29 jaar	68	64	74	50	23	54	20	30	75	20
Juan Pedro López	Movistar Team	Spain	170 cm	60 kg	28 jaar	68	38	20	63	67	33	32	68	44	31
Simon Dehairs	Alpecin-Premier Tech	Belgium	192 cm	82 kg	24 jaar	68	63	24	45	27	82	20	27	78	20
Nicola Conci	XDS Astana Team	Italy	185 cm	68 kg	29 jaar	68	44	20	76	55	41	20	51	68	20
Giovanni Aleotti	Red Bull-BORA-hansgrohe	Italy	180 cm	64 kg	26 jaar	68	43	24	71	63	40	20	60	62	20
Sakarias Koller Løland	Uno-X Mobility	Norway	180 cm	0 kg	24 jaar	67	53	34	74	31	58	20	35	77	20
Tord Gudmestad	Decathlon CMA CGM Team	Norway	188 cm	82 kg	24 jaar	67	55	38	41	25	82	20	33	63	20
Albert Withen Philipsen	Lidl-Trek	Denmark	184 cm	0 kg	19 jaar	67	57	50	72	41	43	42	40	83	37
Anders Foldager	Team Jayco-AlUla	Denmark	181 cm	69 kg	24 jaar	67	53	36	70	36	69	20	48	68	20
Bart Lemmen	Team Visma | Lease a Bike	Netherlands	180 cm	70 kg	30 jaar	67	45	20	69	60	43	44	59	61	33
Kelland O'Brien	Team Jayco-AlUla	Australia	195 cm	79 kg	27 jaar	67	56	57	49	32	49	63	38	61	43
Itamar Einhorn	NSN Cycling Team	Israel	172 cm	72 kg	28 jaar	67	55	29	42	29	82	20	27	67	20
Niklas Larsen	Unibet Rose Rockets	Denmark	183 cm	74 kg	28 jaar	67	60	25	51	26	50	73	50	66	63
Iúri Leitão	Caja Rural-Seguros RGA	Portugal	175 cm	65 kg	27 jaar	67	54	20	37	22	78	38	30	59	28
Henok Mulubrhan	XDS Astana Team	Eritrea	176 cm	60 kg	26 jaar	67	47	20	63	66	60	20	61	63	20
Harry Sweeny	EF Education-EasyPost	Australia	186 cm	75 kg	27 jaar	67	54	58	68	58	49	51	63	64	40
Kevin Geniets	Groupama-FDJ United	Luxembourg	193 cm	73 kg	29 jaar	67	47	45	74	54	39	35	48	72	33
Huub Artz	Lotto-Intermarché	Netherlands	186 cm	71 kg	23 jaar	67	61	49	51	38	60	60	40	61	37
Tao Geoghegan Hart	Lidl-Trek	Great Britain	183 cm	65 kg	30 jaar	67	45	20	66	60	30	61	66	40	55
Jørgen Nordhagen	Team Visma | Lease a Bike	Norway	177 cm	59 kg	21 jaar	67	46	31	73	53	34	50	59	64	43
Stefano Oldani	Caja Rural-Seguros RGA	Italy	178 cm	65 kg	28 jaar	67	52	20	71	38	69	20	39	77	20
Nairo Quintana	Movistar Team	Colombia	167 cm	58 kg	36 jaar	67	39	20	67	70	36	27	57	62	28
Jefferson Cepeda	Movistar Team	Ecuador	170 cm	61 kg	29 jaar	67	46	20	67	65	32	45	60	62	38
Abel Balderstone	Caja Rural-Seguros RGA	Spain	179 cm	61 kg	25 jaar	67	40	20	46	66	33	48	69	45	33
Thibault Guernalec	Team TotalEnergies	France	185 cm	71 kg	28 jaar	67	59	20	41	26	35	79	43	51	78
Dušan Rajović	Solution Tech-NIPPO-Rali	Serbia	183 cm	74 kg	28 jaar	67	56	41	41	24	80	28	40	52	20
Owain Doull	Team Visma | Lease a Bike	Great Britain	181 cm	71 kg	32 jaar	66	56	70	52	34	60	28	38	71	23
