Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Gonzalo Serrano	Movistar Team	Spain	177 cm	65 kg	31 jaar	64	49	52	67	38	54	30	37	73	20
Cédric Beullens	Lotto-Intermarché	Belgium	190 cm	79 kg	29 jaar	64	56	56	51	28	67	29	34	71	26
Jules Hesters	Team Flanders-Baloise	Belgium	180 cm	72 kg	27 jaar	64	53	49	38	21	76	20	28	60	20
Florian Stork	Tudor Pro Cycling Team	Germany	185 cm	65 kg	28 jaar	64	44	20	66	62	40	31	55	65	22
Sam Oomen	Lidl-Trek	Netherlands	177 cm	65 kg	30 jaar	64	40	20	69	57	33	26	52	65	21
Johan Price-Pejtersen	Alpecin-Premier Tech	Denmark	191 cm	83 kg	26 jaar	64	56	25	27	22	31	78	30	40	61
Riley Pickrell	Modern Adventure Pro Cycling	Canada	171 cm	72 kg	24 jaar	63	57	43	43	21	72	35	27	66	20
Mathis Le Berre	Team TotalEnergies	France	176 cm	68 kg	24 jaar	63	46	49	67	46	53	23	44	68	20
Embret Svestad-Bårdseng	INEOS Grenadiers	Norway	185 cm	0 kg	23 jaar	63	41	20	64	59	42	36	60	61	34
Alessandro Pinarello	NSN Cycling Team	Italy		0 kg	22 jaar	63	47	20	71	38	42	20	44	73	20
Joel Nicolau	Caja Rural-Seguros RGA	Spain	176 cm	66 kg	28 jaar	63	50	38	68	43	54	20	44	72	20
Brandon Rivera	INEOS Grenadiers	Colombia	170 cm	60 kg	29 jaar	63	47	40	64	55	42	53	52	48	50
Arthur Kluckers	Tudor Pro Cycling Team	Luxembourg	192 cm	71 kg	25 jaar	63	55	46	41	23	37	64	36	55	51
Damien Touzé	Cofidis	France	174 cm	69 kg	29 jaar	63	53	62	52	32	65	34	44	67	29
Fabian Lienhard	Tudor Pro Cycling Team	Switzerland	183 cm	73 kg	32 jaar	63	52	65	46	25	65	20	37	67	20
Ådne Holter	Uno-X Mobility	Norway	184 cm	0 kg	25 jaar	63	44	31	71	39	35	26	49	68	25
Callum Scotson	Decathlon CMA CGM Team	Australia	183 cm	77 kg	29 jaar	63	40	33	53	66	35	44	59	42	41
Mattéo Vercher	Team TotalEnergies	France	171 cm	0 kg	25 jaar	63	47	20	73	33	39	29	42	71	29
Marcel Camprubí	Pinarello-Q36.5 Pro Cycling Team	Spain	178 cm	69 kg	24 jaar	63	41	41	72	43	41	20	39	71	20
Luca Van Boven	Lotto-Intermarché	Belgium	179 cm	68 kg	26 jaar	63	53	50	64	28	61	23	43	74	24
Jonas Rickaert	Alpecin-Premier Tech	Belgium	187 cm	88 kg	32 jaar	63	58	54	42	35	70	39	39	67	38
Ben Zwiehoff	Red Bull-BORA-hansgrohe	Germany	182 cm	61 kg	31 jaar	63	40	20	62	61	49	35	61	45	29
Alexander Cepeda	EF Education-EasyPost	Ecuador	164 cm	56 kg	27 jaar	63	37	20	65	63	34	20	52	59	20
Frederik Frison	Pinarello-Q36.5 Pro Cycling Team	Belgium	193 cm	84 kg	33 jaar	62	57	68	42	23	48	37	31	66	29
Florian Sénéchal	Alpecin-Premier Tech	France	179 cm	77 kg	32 jaar	62	54	54	47	23	67	23	32	67	23
Frederik Wandahl	Red Bull-BORA-hansgrohe	Denmark	178 cm	61 kg	24 jaar	62	42	20	70	37	40	20	39	76	20
Per Strand Hagenes	Team Visma | Lease a Bike	Norway	186 cm	78 kg	22 jaar	62	54	59	62	34	48	38	51	74	24
Hugo Houle	Alpecin-Premier Tech	Canada	182 cm	72 kg	35 jaar	62	46	39	68	45	48	39	42	67	30
David González	Pinarello-Q36.5 Pro Cycling Team	Spain	180 cm	68 kg	29 jaar	62	49	44	58	46	67	20	38	61	20
Thomas Gachignard	Team TotalEnergies	France		0 kg	25 jaar	62	58	61	63	36	55	54	49	68	53
Ben Swift	INEOS Grenadiers	Great Britain	179 cm	69 kg	38 jaar	62	50	53	59	39	64	20	41	68	20
Johannes Staune-Mittet	Decathlon CMA CGM Team	Norway	182 cm	67 kg	24 jaar	62	36	20	62	61	28	36	60	47	28
Haimar Etxeberria	Red Bull-BORA-hansgrohe	Spain	177 cm	65 kg	22 jaar	62	45	20	64	40	58	20	31	79	20
Bob Jungels	INEOS Grenadiers	Luxembourg	189 cm	70 kg	33 jaar	62	46	48	66	60	48	46	48	58	42
Marc Brustenga	Equipo Kern Pharma	Spain	190 cm	80 kg	26 jaar	62	51	31	41	24	77	20	28	54	20
Nick Schultz	NSN Cycling Team	Australia	180 cm	68 kg	31 jaar	62	41	20	70	42	45	26	42	67	25
Brady Gilmore	NSN Cycling Team	Australia	172 cm	70 kg	24 jaar	62	49	40	68	41	50	25	43	71	24
Milan Vader	Pinarello-Q36.5 Pro Cycling Team	Netherlands	173 cm	63 kg	29 jaar	62	47	49	66	39	52	20	50	65	20
Jonathan Lastra	Euskaltel-Euskadi	Spain	172 cm	64 kg	32 jaar	62	42	20	68	33	47	20	41	74	20
Mirco Maestri	Team Polti VisitMalta	Italy	185 cm	73 kg	34 jaar	62	51	20	64	29	65	43	42	61	41
Ryan Mullen	NSN Cycling Team	Ireland	189 cm	77 kg	31 jaar	62	52	31	34	23	46	73	34	57	75
Emils Liepiņš	Pinarello-Q36.5 Pro Cycling Team	Latvia	175 cm	67 kg	33 jaar	62	54	43	44	24	69	38	32	64	37
Joris Delbove	Team TotalEnergies	France		0 kg	25 jaar	61	50	27	64	53	43	20	53	68	20
Mathias Sunekær Norsgaard	Lidl-Trek	Denmark	202 cm	88 kg	28 jaar	61	53	66	46	24	53	41	33	67	36
Rune Herregodts	UAE Team Emirates-XRG	Belgium	181 cm	70 kg	27 jaar	61	50	29	51	35	35	61	42	54	52
Hartthijs de Vries	Unibet Rose Rockets	Netherlands	184 cm	66 kg	29 jaar	61	55	64	56	23	43	20	41	69	20
Guillaume Boivin	NSN Cycling Team	Canada	180 cm	78 kg	36 jaar	61	53	60	55	28	61	27	36	71	27
Léo Bisiaux	Decathlon CMA CGM Team	France	181 cm	58 kg	21 jaar	61	44	23	67	52	30	32	48	61	29
Xabier Berasategi	Euskaltel-Euskadi	Spain		0 kg	25 jaar	61	51	34	62	30	64	20	34	77	20
Florian Dauphin	Team TotalEnergies	France	180 cm	70 kg	26 jaar	61	55	51	55	24	62	20	32	72	20
Jaume Guardeño	Caja Rural-Seguros RGA	Spain	175 cm	62 kg	22 jaar	61	30	20	40	61	30	23	66	36	23
Iván Cobo	Equipo Kern Pharma	Spain	186 cm	64 kg	26 jaar	61	45	20	67	39	36	35	48	66	20
Chris Hamilton	Team Picnic PostNL	Australia	178 cm	70 kg	30 jaar	61	40	32	66	50	41	26	54	58	25
Unai Iribar	Equipo Kern Pharma	Spain	183 cm	64 kg	26 jaar	61	43	20	66	47	35	20	47	68	20
Lorenzo Germani	Groupama-FDJ United	Italy	179 cm	62 kg	23 jaar	61	44	31	67	38	34	40	44	64	32
Xabier Azparren	Pinarello-Q36.5 Pro Cycling Team	Spain		0 kg	26 jaar	61	50	20	41	26	35	70	36	50	65
Martin Marcellusi	Bardiani CSF 7 Saber	Italy	172 cm	62 kg	25 jaar	60	48	20	63	45	55	20	35	66	20
Vlad Van Mechelen	Bahrain Victorious	Belgium	183 cm	73 kg	21 jaar	60	56	61	53	23	51	27	35	70	20
Bert Van Lerberghe	Soudal Quick-Step	Belgium	190 cm	83 kg	33 jaar	60	56	58	39	24	66	27	37	62	27
Louis Vervaeke	Soudal Quick-Step	Belgium	181 cm	68 kg	32 jaar	60	40	30	64	57	40	28	45	57	23
Robert Donaldson	Team Jayco-AlUla	Great Britain	189 cm	0 kg	23 jaar	60	53	51	53	27	64	24	37	59	20
Diego Pescador	Movistar Team	Colombia	174 cm	60 kg	21 jaar	60	43	20	68	41	37	23	38	70	23
Henri Uhlig	Alpecin-Premier Tech	Germany	180 cm	69 kg	24 jaar	60	49	31	53	26	66	26	34	66	20
Gotzon Martín	Euskaltel-Euskadi	Spain		0 kg	30 jaar	60	51	44	62	35	57	20	38	73	20
